               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.031942,            0.014563,                   0,             0.94136,             0.86358,             0.93673,             0.68662,             0.02617,           0.0092567,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.031666,            0.014573,                   0,             0.94306,             0.86239,             0.93828,             0.68694,            0.026064,           0.0092395,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.031231,            0.014168,                   0,             0.94232,              0.8685,             0.93861,             0.69038,            0.025956,            0.009293,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.031119,            0.014158,                   0,              0.9466,             0.86906,             0.93969,             0.68919,            0.025971,           0.0092011,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.031206,            0.014259,                   0,             0.94199,             0.87031,             0.93923,             0.69287,            0.025684,            0.009157,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.031363,            0.014373,                   0,             0.94381,             0.86848,             0.93963,             0.69687,            0.025486,           0.0090741,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.031365,             0.01436,                   0,             0.94011,             0.86975,             0.93913,             0.69564,             0.02557,           0.0090689,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.030406,            0.014302,                   0,             0.94392,             0.87031,             0.94211,             0.70049,            0.025444,           0.0089419,                   0,            0.003565,            0.003565,            0.003565
                 132,             0.03057,            0.013885,                   0,             0.94451,             0.87313,             0.94198,             0.70218,            0.025293,           0.0089053,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.030901,            0.013736,                   0,              0.9449,             0.87128,             0.94051,             0.69923,            0.025276,           0.0089399,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.031292,            0.013967,                   0,             0.94411,             0.87698,             0.94054,             0.70006,             0.02519,           0.0089633,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.030809,            0.013828,                   0,             0.95189,             0.87454,             0.94203,             0.70164,            0.025226,           0.0089306,                   0,            0.003367,            0.003367,            0.003367
                 136,             0.03077,            0.014069,                   0,             0.95075,             0.87295,             0.94287,             0.70194,            0.025089,           0.0089016,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03085,            0.014465,                   0,             0.94226,              0.8767,             0.94336,             0.70083,            0.025208,           0.0089639,                   0,            0.003268,            0.003268,            0.003268
                 138,             0.03019,            0.013651,                   0,              0.9416,              0.8786,             0.94461,             0.70556,             0.02488,           0.0088499,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,            0.030995,            0.013926,                   0,              0.9535,             0.87309,             0.94413,             0.70865,            0.024884,            0.008758,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.030624,            0.013904,                   0,             0.95514,             0.87448,             0.94728,             0.70996,            0.024809,           0.0087293,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029832,            0.013931,                   0,             0.95387,             0.87476,             0.94299,             0.71254,            0.024678,           0.0086771,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.030367,            0.013938,                   0,             0.95098,             0.88296,             0.94559,             0.71236,            0.024682,           0.0086788,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.029702,            0.013305,                   0,             0.94915,             0.88421,             0.94676,             0.71284,            0.024653,           0.0086388,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.030116,            0.013698,                   0,              0.9495,             0.88607,             0.94632,             0.71151,            0.024647,           0.0086434,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.029901,            0.013432,                   0,             0.95216,             0.88059,             0.94625,             0.71408,            0.024504,           0.0085998,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.030224,            0.013746,                   0,             0.95871,             0.88116,             0.94858,             0.71529,            0.024412,           0.0085412,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.030095,            0.013919,                   0,             0.95348,             0.88608,             0.94959,              0.7181,            0.024307,           0.0085162,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.029635,            0.013814,                   0,             0.95722,             0.88032,             0.94634,             0.71705,              0.0243,           0.0085347,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.030183,            0.013263,                   0,              0.9583,             0.87754,             0.94725,             0.71792,            0.024309,           0.0085196,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.029555,            0.013305,                   0,             0.95113,             0.88852,             0.94824,             0.71611,            0.024231,           0.0084794,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,             0.03015,            0.013356,                   0,             0.95075,             0.89094,             0.94868,                0.72,             0.02413,           0.0084347,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.028978,            0.012946,                   0,             0.95173,             0.88805,             0.94947,             0.71878,            0.024202,           0.0084349,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.029737,            0.013491,                   0,             0.95622,             0.88352,             0.94896,             0.72375,            0.024015,            0.008362,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.029806,            0.013345,                   0,             0.95453,             0.88701,             0.94849,             0.72089,            0.024205,           0.0084143,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.029172,            0.013061,                   0,             0.95813,             0.88755,             0.94993,             0.72323,            0.024026,           0.0083688,                   0,            0.002377,            0.002377,            0.002377
